n=1000, direct=0.000060, dc=0.000051, kara=0.000033
n=1090, direct=0.000126, dc=0.000106, kara=0.000068
n=1180, direct=0.000134, dc=0.000119, kara=0.000065
n=1270, direct=0.000149, dc=0.000128, kara=0.000071
n=1360, direct=0.000154, dc=0.000133, kara=0.000072
n=1450, direct=0.000167, dc=0.000148, kara=0.000082
n=1540, direct=0.000164, dc=0.000146, kara=0.000076
n=1630, direct=0.000179, dc=0.000147, kara=0.000076
n=1720, direct=0.000182, dc=0.000147, kara=0.000079
n=1810, direct=0.000201, dc=0.000165, kara=0.000085
n=1900, direct=0.000222, dc=0.000180, kara=0.000091
n=1990, direct=0.000244, dc=0.000195, kara=0.000098
n=2080, direct=0.000267, dc=0.000214, kara=0.000109
n=2170, direct=0.000292, dc=0.000234, kara=0.000118
n=2260, direct=0.000318, dc=0.000255, kara=0.000125
n=2350, direct=0.000341, dc=0.000295, kara=0.000132
n=2440, direct=0.000369, dc=0.000318, kara=0.000144
n=2530, direct=0.000396, dc=0.000333, kara=0.000144
n=2620, direct=0.000427, dc=0.000350, kara=0.000154
n=2710, direct=0.000457, dc=0.000377, kara=0.000164
n=2800, direct=0.000490, dc=0.000406, kara=0.000170
n=2890, direct=0.000522, dc=0.000445, kara=0.000191
n=2980, direct=0.000557, dc=0.000492, kara=0.000200
n=3070, direct=0.001306, dc=0.000534, kara=0.000411
n=3160, direct=0.000960, dc=0.000932, kara=0.000380
n=3250, direct=0.001082, dc=0.001016, kara=0.000390
n=3340, direct=0.000939, dc=0.000761, kara=0.000329
n=3430, direct=0.000880, dc=0.000722, kara=0.000300
n=3520, direct=0.001021, dc=0.000867, kara=0.000365
n=3610, direct=0.001143, dc=0.000889, kara=0.000362
n=3700, direct=0.001024, dc=0.000865, kara=0.000385
n=3790, direct=0.001153, dc=0.001096, kara=0.000468
n=3880, direct=0.001454, dc=0.001267, kara=0.000465
n=3970, direct=0.001169, dc=0.000948, kara=0.000372
n=4060, direct=0.001453, dc=0.001192, kara=0.000449
n=4150, direct=0.001936, dc=0.001786, kara=0.000714
n=4240, direct=0.002091, dc=0.001839, kara=0.000738
n=4330, direct=0.002269, dc=0.001757, kara=0.000691
n=4420, direct=0.002165, dc=0.001712, kara=0.000657
n=4510, direct=0.001819, dc=0.001482, kara=0.000544
n=4600, direct=0.001647, dc=0.001322, kara=0.000506
n=4690, direct=0.001564, dc=0.001338, kara=0.000454
n=4780, direct=0.001665, dc=0.001402, kara=0.000469
n=4870, direct=0.001491, dc=0.001287, kara=0.000444
n=4960, direct=0.001599, dc=0.001520, kara=0.000475
n=5050, direct=0.001600, dc=0.001333, kara=0.000440
n=5140, direct=0.001663, dc=0.001368, kara=0.000474
n=5230, direct=0.001710, dc=0.001395, kara=0.000467
n=5320, direct=0.001773, dc=0.001456, kara=0.000484
n=5410, direct=0.001834, dc=0.001513, kara=0.000503
n=5500, direct=0.001893, dc=0.001556, kara=0.000519
n=5590, direct=0.001956, dc=0.001613, kara=0.000526
n=5680, direct=0.002018, dc=0.001668, kara=0.000543
n=5770, direct=0.002103, dc=0.001742, kara=0.000585
n=5860, direct=0.002158, dc=0.001819, kara=0.000581
